äœë™ì˙,pH,"EC
(mS/m)",êÖâ∑(Åé),é©ï¨ó (L/min),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO2
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","SiO2
(mg/L)","3H
(T.U.)","14C
(pMC)"
2011/3/24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/4/18,7.41,14.84,12.2,42.32,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/5/17,7.87,14.73,12.6,34.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/6/28,7.7,15.63,12.7,40.76,9.5,0.1,4.6,5.8,12.9,4.6,0.7,19.9,54.9,36.1,-9999,-9999
2011/7/19,8.04,15.57,12.9,24.26,9.5,0.1,4.6,5.7,12.9,4.6,0.8,19.6,55.9,35,-9999,-9999
2011/8/18,7.6,15.77,13.2,12.28,9.7,0.1,4.6,5.8,13,5,0.9,22.2,53.7,35.3,-9999,-9999
2011/9/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/9/22,6.95,12.42,12.6,15.73,9.1,0.1,4.4,5.3,12,4.5,0.9,19.8,53.4,35.5,-9999,-9999
2011/10/14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/19,6.91,11.45,12.3,25.52,9.7,0.1,4.5,5.4,12.5,4.5,0.9,19.5,54.3,36,-9999,-9999
2011/11/25,7.4,10.82,11.7,40.59,9.2,0,4.3,4.8,11.9,4.7,1.1,19.5,48.8,35.1,-9999,-9999
2011/12/21,6.92,14.92,11.8,25.62,9.3,0,4.5,5.3,11.8,4.8,0.8,20.3,49.9,35.8,-9999,-9999
2012/1/23,7.56,16.78,9.9,20.75,9.4,0.1,4.6,5.3,11.7,5,0.8,20.6,50.6,36.1,-9999,-9999
2012/2/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012/2/22,7.36,15.43,11.7,19.78,9.4,0,4.6,5.4,11.7,4.6,0.7,20,51.2,34.5,-9999,-9999
2012/3/27,7.69,16.26,12,51.96,8.7,0,4.5,5.2,11.7,4.6,1.1,18.2,50.3,36.5,-9999,-9999
2012/4/17,7.61,15.93,11.8,51.39,8.4,0,4.4,5.2,11.5,4.6,1.4,18.3,48.4,36.8,-9999,-9999
2012/5/14,7.78,15.19,12,20.17,8.8,0,4.5,5.5,11.9,4.6,0.9,19.6,51.6,36,-9999,-9999
2012/6/12,7.44,20.3,13.5,6.96,9.2,0,4.5,5.6,12.2,4.6,0.7,20.6,54.3,37.3,-9999,-9999
2012/7/10,8.01,17.88,13,40.69,9.5,0,4.5,5.5,12.5,4.6,0.8,19.9,51.5,36.8,-9999,-9999
2012/8/20,7.74,15.95,12.7,28.48,9.6,0,4.5,5.4,12,4.5,0.7,19.9,53.1,37.4,-9999,-9999
2012/9/20,7.39,16.43,12.8,19.12,10.2,0,4.5,5.2,12.5,4.6,0.5,21.4,54.3,38.2,-9999,-9999
2012/10/16,8.45,16.17,12.2,16.65,10.4,0,4.5,5.5,12.8,4.9,0.4,21.5,55.5,37,-9999,-9999
2012/11/20,7.97,17.17,12,43.73,9.7,0,4.3,6,11.8,4.6,0.8,19.6,54,36.4,-9999,-9999
2012/12/14,7.12,14.91,11.6,54.86,9,0,4.2,5.2,11.3,4.5,1.1,18,51.9,36.3,-9999,-9999
2013/1/20,7.69,15.06,11.6,53.22,8.8,0,4.3,5.1,11,4.5,0.8,18.8,51.6,36.8,-9999,-9999
2013/2/15,7.35,15.34,11.4,56.84,8.5,0,4.5,5.2,10.8,4.7,1.2,18.1,51,37.3,-9999,-9999
2013/3/20,8.1,15.73,11.8,58.18,8.5,0,4.5,5.1,10.8,4.9,1.3,18.2,50.3,37,-9999,-9999
2013/4/17,7.26,14.48,12.2,53.51,8.9,0,4.6,5.3,11,4.5,1.2,18,50.6,36.5,-9999,-9999
2013/5/23,7.41,15.56,13.6,33.66,9.4,0,4.8,5.7,11.5,4.5,1,20.4,53.1,37.3,-9999,-9999
2013/6/20,7.13,15.78,12.8,31.77,9.7,0,4.8,5.8,12.2,4.7,0.7,21.1,55.3,36.9,-9999,-9999
2013/7/25,7.3,15.28,12.9,36.5,9.5,0,5.1,5.3,10.9,4.7,0.8,19.7,53.7,36.7,-9999,-9999
2013/8/14,7.13,27.7,13.4,45.17,9.2,0,4.3,5,10.5,4.7,0.9,18.4,53.2,37.4,-9999,-9999
2013/9/13,7.13,15.19,13,50.74,8.7,0,4.4,4.8,10.2,4.6,1.3,17.8,51.7,37.1,-9999,-9999
2013/10/25,7.47,16.89,12.6,32.39,9.2,0,4.6,5,10.3,4.6,0.8,19.3,53.7,38.8,-9999,-9999
2013/11/20,6.86,14.52,12,42.5,8.7,0,4.4,4.7,9.9,4.4,0.9,17.8,50.9,37.5,-9999,-9999
2013/12/20,6.98,14.63,11.9,36.15,8.6,0,4.4,4.9,10.2,4.4,0.9,18.2,57.3,37.6,-9999,-9999
2014/1/20,7.38,15.47,11,41.18,8.7,0,4.5,5.1,10.5,4.5,1.1,17.6,51.2,38.1,-9999,-9999
2014/2/26,7.33,15.19,11.7,35.65,8.9,0,4.6,5.1,10.3,4.5,0.9,18.8,54.3,37.2,-9999,-9999
2014/3/20,7.09,15.62,11.6,38.89,8.8,0,4.4,5,10.7,4.7,1,20.3,47.6,40.6,-9999,-9999
2014/4/21,6.98,15.28,12,23.18,8.7,0,4.6,5.2,10.7,4.6,1.1,18.7,51.9,37.8,-9999,-9999
2014/5/11,7.51,17.85,12.5,36.15,9,0,4.7,5.4,10.6,4.5,0.7,19.6,54.8,38.2,-9999,-9999
2014/5/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/6/23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/6/24,7.34,18.1,13.1,8.24,9.5,0,4.6,5.5,10.9,4.6,0.4,22.5,53.1,37.7,-9999,-9999
2014/7/9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/7/22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/7/23,7.52,17.58,13.1,28.55,9.7,0,4.5,5.3,11.3,4.7,0.6,20,56.4,37.8,-9999,-9999
2014/7/24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/23,7.5,15.19,12.3,35.23,9.4,0,4.4,5.2,11.9,4.6,1.1,22.9,56,38.6,-9999,-9999
2014/8/26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/9/15,7.07,15.3,12.5,22.4,10.3,0,4.9,5.7,12.9,5,1,20.5,54.4,38.7,-9999,-9999
2014/9/18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/10/15,7.85,15.24,12.2,23.61,10.1,0,4.6,5.4,11.6,4.5,0.9,19.7,54.9,38.5,-9999,-9999
2014/10/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/11/17,6.99,14.96,11.8,23.86,9.7,0,4.5,5.2,11.9,4.3,1,19.3,58.6,37.7,-9999,-9999
2014/11/26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/12/19,6.95,14.82,11.4,49.11,9,0,4.4,4.9,10.5,4.3,1.5,17.6,53.1,37.7,-9999,-9999
2014/12/23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/1/23,6.69,14.67,11.6,51.86,8.8,0,4.5,5.1,11.3,4.4,1.3,18,52.1,39.3,-9999,-9999
2015/2/12,7.05,14.62,11,53.46,8.8,0,4.4,5.2,11.1,4.3,1.2,17.7,49.2,38.1,-9999,-9999
2015/3/23,8.15,14.49,11.8,54.77,8.6,0,4.3,5.3,12.1,4.3,1.6,18.5,53.7,37.1,-9999,-9999
2015/4/16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/4/20,7.26,15.19,12.1,51.94,8.4,0,4.3,5.2,11.6,4.3,1.4,16.4,51.2,37.3,-9999,-9999
2015/5/10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/5/11,7.3,14.85,12,40.04,8.4,0,4.6,5.3,10.7,4.4,0.8,18,52,39.1,-9999,-9999
2015/5/18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/5/28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
