äœë™ì˙,pH,"EC
(mS/m)",êÖâ∑(Åé),é©ï¨ó (L/min),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO2
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","SiO2
(mg/L)","3H
(T.U.)","14C
(pMC)"
2011/3/24,7.32,12.71,11.5,33.72,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/4/18,7.76,9.36,11.8,30.25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/5/17,7.78,9.59,12.1,41.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/6/28,7.5,9.55,12.7,50.93,3.9,0,0.9,2.7,12.8,3,1.4,7.5,38.1,12.2,-9999,-9999
2011/7/19,7.48,9.49,12.5,51.49,3.9,0,0.9,2.7,12.9,3,1.4,7.6,37.1,12.6,-9999,-9999
2011/8/18,7.5,9.82,13.1,55.62,3.8,0.1,0.9,2.9,12.5,3.3,1.6,8.2,37.2,13.1,-9999,-9999
2011/9/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/9/22,7.43,7.48,11.8,53.94,3.7,0,0.9,2.8,12.4,3.2,1.5,7.8,36.8,12.7,-9999,-9999
2011/10/14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/19,7.41,7.37,12.1,48.18,3.8,0,0.9,2.9,12.3,3.1,1.4,7.5,36.6,12.3,-9999,-9999
2011/11/25,7.6,6.69,11.2,47.6,3.8,0,0.9,3,12.1,3.2,1.4,7.4,34.3,12.4,-9999,-9999
2011/12/21,7.06,9.44,11.2,51.46,3.9,0,0.9,2.5,12,3.2,1.2,7.7,35.4,12.4,-9999,-9999
2012/1/23,7.37,9.85,10.8,42.98,3.9,0,0.9,2.6,12,3.2,1.4,7.5,34.9,12.4,-9999,-9999
2012/2/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012/2/22,7.63,9.43,11.3,36.89,3.9,0,0.9,2.6,11.9,2.9,1.2,7.1,35.7,12.5,-9999,-9999
2012/3/27,7.51,9.58,11.8,40.99,3.8,0,0.9,2.6,11.9,2.8,1.2,7.1,35.6,13.1,-9999,-9999
2012/4/17,7.05,10.41,11.6,41.74,3.9,0,0.9,2.7,12.5,3.3,1.7,8,36.2,13.1,-9999,-9999
2012/5/14,7.06,9.86,12,44.01,3.8,0,0.9,2.8,12.6,2.8,1.3,7.5,37.8,12.8,-9999,-9999
2012/6/12,7.13,11.34,12.3,45.46,3.8,0,0.9,2.8,12.5,2.8,1.3,7.7,38.4,13.4,-9999,-9999
2012/7/10,7.89,9.52,12.9,45.75,3.9,0,0.9,2.7,12.5,2.9,1.4,7.5,35.4,12.6,-9999,-9999
2012/8/20,7.25,9.52,12.5,49.76,3.9,0,0.8,2.6,12.3,2.9,1.4,7.5,34.5,13.2,-9999,-9999
2012/9/20,7.68,9.63,12.1,46.79,3.9,0,0.8,2.7,12.5,3,1.4,7.6,36,13.3,-9999,-9999
2012/10/16,8.09,10.52,12.2,45.91,3.9,0,0.9,2.7,12.3,3.4,1.4,7.4,37,13.1,-9999,-9999
2012/11/20,7.52,9.53,11.7,44.55,3.8,0,0.8,3,11.6,3,1.3,7.2,36.5,13,-9999,-9999
2012/12/14,7.98,11.13,11.4,42.76,3.8,0,0.8,2.6,11.6,2.8,1.3,7.1,37.6,12.7,-9999,-9999
2013/1/20,7.49,9.58,11.2,39.41,3.7,0,0.9,2.5,11.4,2.8,1.1,7.4,36.4,13.6,-9999,-9999
2013/2/15,7.81,9.99,11.6,34.25,3.8,0,0.9,2.6,11.6,3,1.5,7.6,36.8,13.4,-9999,-9999
2013/3/20,7.88,10.74,12.1,34.25,3.8,0,0.9,2.6,11.5,3,1.3,7.7,36.4,13.3,-9999,-9999
2013/4/17,7.08,9.38,11.6,32.18,3.8,0,0.9,2.7,11.7,2.8,1.5,7.5,37.2,13.3,-9999,-9999
2013/5/23,6.32,9.29,12.3,34.45,3.9,0,0.9,2.6,11.6,2.7,1.5,7.6,36.7,13.2,-9999,-9999
2013/6/20,7.67,9.18,12.3,46.2,3.8,0,0.9,2.6,11.8,2.7,1.4,7.6,38.1,12.8,-9999,-9999
2013/7/25,7.35,10.25,12.6,50.84,3.8,0,0.9,2.5,10.9,2.9,1.3,7.4,36.6,13,-9999,-9999
2013/8/14,7.33,9.69,12.5,50.58,3.9,0,0.9,2.4,10.6,2.9,1.3,7.4,37.8,12.4,-9999,-9999
2013/9/13,7.41,9.42,12.6,50.9,3.8,0,0.9,2.5,10.6,2.9,1.3,7.4,37.2,13.4,3.2,-9999
2013/10/25,7.16,9.47,12.1,46.32,3.8,0,0.9,2.4,10.5,3,1.2,7.4,36.8,13.2,-9999,-9999
2013/11/20,7.04,10.34,11.7,50.28,3.8,0,0.9,2.4,10.4,2.9,1.2,7.4,37.1,13.4,-9999,-9999
2013/12/20,7.19,9.23,11.4,51.87,3.7,0,0.9,2.4,10.4,2.9,1.2,7.2,37,13,-9999,-9999
2014/1/20,7.45,9.81,11.5,43.55,3.8,0,0.9,2.4,10.4,2.9,1.3,7.2,36.5,13.6,-9999,-9999
2014/2/26,7.5,9.28,12.4,38.66,3.8,0,0.9,2.4,10.5,2.9,1.3,7,39.2,13.3,-9999,-9999
2014/3/20,7.33,9.26,11.4,38.37,3.9,0,0.9,2.5,11,2.9,1.3,7.2,37.2,14.1,-9999,-9999
2014/4/21,7.61,7.4,12.4,44.03,3.8,0,0.9,2.5,11.2,3.1,1.4,7.4,37.1,13.4,-9999,-9999
2014/5/11,7.34,12.35,12.6,48.46,3.8,0,0.9,2.4,10.6,3.2,1.4,7.3,36.6,13.2,-9999,-9999
2014/5/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/6/23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/6/24,7.36,9.28,12.6,48.42,3.8,0,0.9,2.6,11.1,3.3,1.2,7.3,38.1,13.3,-9999,-9999
2014/7/9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/7/22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/7/23,7.33,9.15,12.7,52.62,3.8,0,0.9,2.4,11.3,3.5,1.2,7.2,36.7,13.2,-9999,-9999
2014/7/24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/23,7.63,9.2,12.5,50.44,3.7,0,0.9,2.4,10.1,3.5,1.2,6.8,37.3,13.8,-9999,-9999
2014/8/26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/9/15,7.46,9.17,12.4,47.28,3.8,0,1,2.4,10.7,3.9,1.2,7.1,36.1,13.8,-9999,-9999
2014/9/18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/10/15,7.81,9.12,11.9,42,3.8,0,1,2.4,10.2,3.8,1.1,6.8,35.3,13.1,-9999,-9999
2014/10/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/11/17,7.28,9.12,11.6,44.92,3.8,0,1,2.4,10.2,3.6,1.4,7,37.8,12.9,-9999,-9999
2014/11/26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/12/19,7.36,9.12,11.4,46.25,3.8,0,1,2.4,10.2,3.5,1.5,7,36.8,13.6,-9999,-9999
2014/12/23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/1/23,7.12,9.03,11.5,46.26,3.8,0,0.9,2.4,10.1,3.4,1.4,7,36.5,13.8,-9999,-9999
2015/2/12,7.16,9.99,11.4,43.27,3.8,0,0.9,2.4,10.2,3.4,1.4,7,35.9,13.6,-9999,-9999
2015/3/23,8.05,9.18,11.4,38.66,3.8,0,0.9,2.4,10.3,3.3,1.4,7.1,37.8,13.5,-9999,-9999
2015/4/16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/4/20,7.51,9.89,12.2,42.26,3.8,0,0.9,2.4,10.3,3.2,1.4,7.2,37,13.5,-9999,-9999
2015/5/10,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/5/11,7.53,9.68,11.9,45.12,3.8,0,1,2.4,10.4,3.3,1.3,7.2,36.4,13.4,-9999,-9999
2015/5/18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/5/28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/6/20,7.42,9.09,12.2,47.96,3.8,0,1,2.4,9.9,3.2,1.3,7.2,37.9,13,-9999,-9999
2015/6/22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/7/16,7.94,9.17,12.5,47.5,3.8,0,1,2.4,10.4,3.2,1.3,7.2,37.2,13.9,-9999,-9999
2015/7/22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/7/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/8/23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/8/24,7.08,9.33,12.8,47.85,3.8,0,1,2.4,10.4,3.3,1.3,7.3,37.8,13.5,-9999,-9999
2015/8/25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/8/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/9/25,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/9/29,7.17,9.28,12.1,45.86,3.8,0,1,2.4,10.5,3.3,1.3,7.3,36.2,-9999,-9999,-9999
2015/9/30,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/10/1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/10/19,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2015/10/20,7.03,9.39,12.5,39.8,3.8,0,1,2.4,10.5,3.3,1.3,7.3,37.8,-9999,-9999,-9999
2015/10/21,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
