äœë™ì˙,pH,"EC
(mS/m)",êÖâ∑(Åé),é©ï¨ó (L/min),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO2
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","SiO2
(mg/L)","3H
(T.U.)","14C
(pMC)"
2011/3/24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/4/18,7.16,72,17.1,46.92,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/5/17,7.7,72,17.3,48.22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/6/28,7.41,71.5,17.6,47.58,69.1,0.4,1.4,18.8,49.7,191.7,0,4.7,50.3,31,-9999,-9999
2011/7/19,7.65,72.9,17.7,46.19,69.8,0.4,2.3,18.8,49.9,189.6,0,4.6,51.2,31.1,-9999,-9999
2011/8/18,8.22,72.5,18,51.8,68.8,0.3,1.5,18.5,45,195.5,0,6.5,48.7,31.1,-9999,-9999
2011/9/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/9/22,7.58,62.6,17,53.79,68,0.5,1.7,18.6,46,190.8,0.2,6.4,48.8,30.6,-9999,-9999
2011/10/14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/19,7.61,62.4,17,44.26,68.2,0,1.7,19.5,45.5,195.5,0.4,5.9,48.8,31.3,-9999,-9999
2011/11/25,7.43,60.5,15.7,44.59,69.1,0,1.6,19.8,45.2,196.7,0.1,6.1,46,31,-9999,-9999
2011/12/21,7.29,72.2,15.9,40.75,69.4,0,1.5,17.8,44.9,208,0.2,6.7,46.8,31.9,-9999,-9999
2012/1/23,6.82,73.4,15,42.46,69.8,0,1.5,18.2,44.6,205.5,0,6.2,47.2,30.8,-9999,-9999
2012/2/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012/2/22,7.34,57.8,16,40.59,68.2,0,1.4,18.1,43.5,192.1,0,5.8,47.5,30.6,-9999,-9999
2012/3/27,7.35,73,15.5,41.4,69.1,0,1.4,18.7,44.4,194.2,0.1,5.8,47.6,33.1,-9999,-9999
2012/4/17,6.87,72.8,16.8,43.02,68,0.8,1.4,18.3,49.2,189.7,0,6,47.7,32.3,-9999,-9999
2012/5/14,7.2,72.6,17.5,46.99,67.9,0.7,1.6,18.1,48.2,188.2,0.3,6.2,48.3,33.3,-9999,-9999
2012/6/12,7.48,73.6,17.1,50.33,69.1,0.6,1.7,18.5,50.5,191.8,0.3,6.2,50.6,31.8,-9999,-9999
2012/7/10,7.39,74.9,18.3,47.21,68.5,0.6,1.3,18.6,52.2,193.2,1.1,10.2,47.5,24.4,-9999,-9999
2012/8/20,8.14,77.8,18.3,44.5,69.7,0.2,1.2,17.4,49.5,194.6,0,6.2,46.5,32.5,-9999,-9999
2012/9/20,7.88,75.8,17.5,43.82,68.5,0.3,1.1,16.5,47.5,194.8,1.2,6.3,47.7,32.2,-9999,-9999
2012/10/16,7.43,72.9,17,42.82,69.4,0.3,1.6,18.2,49.2,203.4,0.3,6.2,47.1,32.2,-9999,-9999
2012/11/20,7.57,72.7,16.5,44.94,67.7,0.2,1,18.1,44.5,193.8,0,6,60.6,31.2,-9999,-9999
2012/12/14,6.96,74.1,16,38.36,68.1,0.2,1,17.1,46.1,193.4,0.4,6,49.4,31.5,-9999,-9999
2013/1/20,7.27,75.3,16,40.52,65.7,0,2.9,18.2,45.1,194.3,0.4,4.9,48.6,32.4,-9999,-9999
2013/2/15,7.17,74.8,15.9,42.13,66.2,0.3,1.4,18.4,45.6,200.5,6.2,5.6,48.4,31.9,-9999,-9999
2013/3/20,7.49,88.3,16.5,40.45,66.9,0.4,1.5,18.1,44.2,206.3,3.6,5.5,48.8,32.9,-9999,-9999
2013/4/17,6.89,74.3,16.4,47.66,68.3,0.5,1.1,18.6,47.2,192.6,0,6.6,48.8,31.9,-9999,-9999
2013/5/23,7.09,73.2,17.4,43.76,70.2,0,0.6,19.8,48.6,197.6,0,8.2,49.2,32.2,-9999,-9999
2013/6/20,7.25,74.6,17.1,43.9,68.4,0,0.9,19.3,49.6,196.8,0,6.6,49.7,31.9,-9999,-9999
2013/7/25,7.04,75.3,18.3,47.94,69,0.4,1.2,19,48.9,203.7,4.5,5.5,49.4,32,-9999,-9999
2013/8/14,7.02,74.1,17.9,45.59,69.3,0.4,1.3,18.5,47.4,206.9,0,5.7,49.2,32.7,-9999,-9999
2013/9/13,7.16,73.6,17.8,48.33,69.5,0.4,1.4,19.2,47.8,207.3,0.3,5.5,49.5,32.9,-9999,-9999
2013/10/25,7.13,75.2,16.9,42.93,68,0.3,1.1,17.7,44.8,208.1,0,5.5,49.9,33.3,-9999,-9999
2013/11/20,6.91,73.7,16.4,40.42,67.4,0.4,1.4,17.4,42.3,197.2,0,5.8,49.7,32.9,-9999,-9999
2013/12/20,7.11,73.8,16.2,43.83,67.7,0.2,1.5,17.8,43.8,195.6,0,5.8,49.4,32.8,-9999,-9999
2014/1/20,7.16,76.7,15.7,29.41,68.7,0,1.3,17.5,42.8,193.3,6.4,4.9,49.5,33.4,-9999,-9999
2014/2/26,7.18,74.2,16.2,23.5,70.2,0.4,1.3,18,43.8,198.4,0,5.7,52.3,32.4,-9999,-9999
2014/3/20,6.88,80.3,15.7,36.38,69.9,0,1.1,17.9,44.8,205.6,0,4.7,49.4,34.7,-9999,-9999
2014/4/21,7.03,77.1,16.7,37.56,70.6,0.3,1.1,18.8,44.5,206.8,0,4.8,49.7,32.6,-9999,-9999
2014/5/11,7,79,17.2,38.43,71.4,0,1.2,20.2,44.5,212.3,0,5.2,50.3,32.9,-9999,-9999
2014/5/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/6/23,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/6/24,7.17,80.9,17.2,37.14,73.2,0,1.6,19.9,46.7,223.7,0.4,6.2,49.7,32.5,-9999,-9999
2014/7/9,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/7/22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/7/23,6.73,82.2,17.6,39.83,73.2,0,1.3,19.7,49.5,228.2,0.4,6.1,50.3,32.5,-9999,-9999
2014/7/24,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/23,7,81.8,17.2,39.41,72.3,0,1.5,20.3,50.1,230.2,0,6.6,52.6,33.6,-9999,-9999
2014/8/26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/28,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/8/29,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/9/15,6.94,81.5,17.6,39.01,74.4,0,0,19.9,51.9,233,0,7.2,49.3,33,-9999,-9999
2014/9/18,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/10/15,7.26,80.4,16.5,34.75,76.9,0,0,21.4,51.2,236.1,0,7.5,49.2,33.4,-9999,-9999
2014/10/27,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2014/11/17,6.9,80.2,16,37.35,74.4,0,0,20.5,50.2,217.3,4.7,6.2,50.6,32.6,-9999,-9999
2014/11/26,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
