äœë™ì˙,pH,"EC
(mS/m)",êÖâ∑(Åé),é©ï¨ó (L/min),"Na
(mg/L)","NH4
(mg/L)","K
(mg/L)","Mg
(mg/L)","Ca
(mg/L)","Cl
(mg/L)","NO2
(mg/L)","SO4
(mg/L)","HCO3
(mg/L)","SiO2
(mg/L)","3H
(T.U.)","14C
(pMC)"
2011/3/24,7.4,12.6,9.8,3.82,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/4/18,7.29,9.38,11.1,3.86,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/5/17,7.89,9.42,12.4,9.73,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/6/28,7.58,9.27,13.2,15.48,3.7,0.1,0.9,2.3,12.5,3.3,1.3,7.2,35.1,10.9,-9999,-9999
2011/7/19,7.57,9.13,12.6,15.51,3.7,0.1,0.9,2.3,12.7,3.1,1.3,7.2,35.6,11.4,-9999,-9999
2011/8/18,8.06,9,13.2,16.6,3.7,0.1,0.9,2.4,12.3,3.2,1.6,7.9,34.3,11.5,-9999,-9999
2011/9/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/9/22,7.74,6.92,11.6,16.96,3.6,0.1,0.9,2.3,12,3,1.3,7.7,34.4,11.2,-9999,-9999
2011/10/14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/16,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2011/10/19,7.37,6.57,11.7,13.91,3.6,0,0.9,2.4,11.8,2.7,1.2,7.3,34.4,11.1,-9999,-9999
2011/11/25,7.65,6.29,10.5,13.16,3.7,0,0.9,2.5,11.7,2.9,1.1,7.2,32.8,11.4,-9999,-9999
2011/12/21,7.37,8.98,10.4,12.6,3.7,0,0.9,2.1,11.8,3,1,7.6,32.9,11.6,-9999,-9999
2012/1/23,7.44,9.11,10.1,8.3,3.7,0,0.9,2.2,11.6,3.1,1.1,7.2,33.1,11.4,-9999,-9999
2012/2/20,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
2012/2/22,7.67,9.06,10.7,5.29,4,0,1.5,2.2,11.6,2.9,1,6.9,32.9,11.3,-9999,-9999
2012/3/27,7.51,9.1,10.8,8.81,3.7,0,0.9,2.3,11.7,3,1.1,6.8,33.4,11.8,-9999,-9999
2012/4/17,7.26,9.2,11.2,8.99,3.7,0,0.9,2.3,12.1,3,1.2,7.3,33.6,11.9,-9999,-9999
2012/5/14,7.27,9.33,11.9,10.98,3.7,0,0.9,2.3,12.1,3,1.2,7.3,34.3,11.4,-9999,-9999
